;Scopy version,f4beeb1
;Exported on,mardi octobre 08/10/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
749,-0.086,0.0173885
750,-0.085,0.0173885
751,-0.084,0.0173885
752,-0.083,0.0173885
753,-0.082,0.0173885
754,-0.081,0.0173885
755,-0.08,0.0173885
756,-0.079,0.0173885
757,-0.078,0.0173885
758,-0.077,0.0173885
759,-0.076,0.0173885
760,-0.075,0.0173885
761,-0.074,0.0173885
762,-0.073,0.0173885
763,-0.072,0.0173885
764,-0.071,0.0173885
765,-0.07,0.0173885
766,-0.069,0.0173885
767,-0.068,0.0173885
768,-0.067,0.0173885
769,-0.066,0.0173885
770,-0.065,0.0173885
771,-0.064,0.0173885
772,-0.063,0.0173885
773,-0.062,0.0173885
774,-0.061,0.0173885
775,-0.06,0.0173885
776,-0.059,0.0173885
777,-0.058,0.0173885
778,-0.057,0.0173885
779,-0.056,0.0173885
780,-0.055,0.0173885
781,-0.054,0.0173885
782,-0.053,0.0173885
783,-0.052,0.0173885
784,-0.051,0.0173885
785,-0.05,0.0173885
786,-0.049,0.0173885
787,-0.048,0.0173885
788,-0.047,0.0173885
789,-0.046,0.0173885
790,-0.045,0.0173885
791,-0.044,0.0173885
792,-0.043,0.0173885
793,-0.042,0.0173885
794,-0.041,0.0173885
795,-0.04,0.0173885
796,-0.039,0.0173885
797,-0.038,0.0173885
798,-0.037,0.0173885
799,-0.036,0.0173885
800,-0.035,0.0173885
801,-0.034,0.0173885
802,-0.033,0.0173885
803,-0.032,0.0173885
804,-0.031,0.0173885
805,-0.03,0.0173885
806,-0.029,0.0173885
807,-0.028,0.0173885
808,-0.027,0.0173885
809,-0.026,0.0173885
810,-0.025,0.0173885
811,-0.024,0.0173885
812,-0.023,0.0173885
813,-0.022,0.0173885
814,-0.021,0.0173885
815,-0.02,0.0173885
816,-0.019,0.0173885
817,-0.018,0.0173885
818,-0.017,0.0173885
819,-0.016,0.0173885
820,-0.015,0.0173885
821,-0.014,0.0173885
822,-0.013,0.0173885
823,-0.012,0.0173885
824,-0.011,0.0173885
825,-0.01,0.0173885
826,-0.009,0.0173885
827,-0.008,0.0173885
828,-0.007,0.0173885
829,-0.006,0.0173885
830,-0.005,0.0173885
831,-0.004,0.0173885
832,-0.003,0.0173885
833,-0.002,0.0173885
834,-0.001,0.0173885
835,0,0.0173885
836,0.001,0.0173885
837,0.002,0.0173885
838,0.003,0.0173885
839,0.004,0.0173885
840,0.005,0.0173885
841,0.006,0.0173885
842,0.007,0.0173885
843,0.008,0.0173885
844,0.009,0.0173885
845,0.01,0.0173885
846,0.011,0.0173885
847,0.012,0.0173885
848,0.013,0.0173885
849,0.014,0.0173885
850,0.015,0.0173885
851,0.016,0.0173885
852,0.017,0.0173885
853,0.018,0.0173885
854,0.019,0.0173885
855,0.02,0.0173885
856,0.021,0.0173885
857,0.022,0.0173885
858,0.023,0.0173885
859,0.024,0.0173885
860,0.025,0.0173885
861,0.026,0.0173885
862,0.027,0.0173885
863,0.028,0.0173885
864,0.029,0.0173885
865,0.03,0.0173885
866,0.031,0.0173885
867,0.032,0.0173885
868,0.033,0.0173885
869,0.034,0.0173885
870,0.035,0.0173885
871,0.036,0.0173885
872,0.037,0.0173885
